edit_history_tweet_ids,author_id,text,public_metrics,id
['1610727744769495041'],1545407758366679041,"RT @taskonxyz: 🎇#TaskOn x @cre_verse have prepared a special New Year's gift for you! 
 
🎁 150 $USDT + #TaskOn #EXPs
 
⏰ Dec 30th 10:00 - J…","{'retweet_count': 581, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727744769495041
['1610727744111009792'],235328249,"RT @mariushav: Even the fudders know #Saitama will be 3 digits within 2026.

Institutional investors will come, then 🧨🧨💣💣💥💥

Merry Christma…","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727744111009792
['1610727744039534592'],4768830455,"Transfer of coins i minted and there seems to be 25 million coins that didn’t end up at https://t.co/OS7RHr14Kh instead it was intercepted by a local gang of crypto hackers in Cambria county and they have been active here 4 awhile.

TFC token tracker 

https://t.co/PcEPzaX5ju","{'retweet_count': 1, 'reply_count': 3, 'like_count': 1, 'quote_count': 0, 'impression_count': 82}",1610727744039534592
['1610727743955533830'],1506231815497003012,"Have you forgotten  your login details? or Your account got hacked?
Let me be your hacker.
Every account recovery available #Trustwallet #cryptocurrency #BNB  #Coinbase #cyber #RecoveryPhrase #coinbase #crypto #Ethereum #CryptoNews #Binance  #BTC   #Anonymous #Binance    ..","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 8}",1610727743955533830
['1610727743892905984'],1173744255099166725,@crypto_sauce23 NFA DYOR but it’s strong,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 44}",1610727743892905984
['1610727743821598721'],1358314699499204614,"RT @bong_inu: If you missed out on $Bonk, then Bong inu got a massive $Bong airdrop for you.

Just fill the form below to enter:

https://t…","{'retweet_count': 13670, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727743821598721
['1610727743456514048'],295309909,@Bitboy_Crypto @OilCrypto @GaryGensler @SECGov This guy has made over $200k by exploiting Uniswap. How is this allowed to happen? https://t.co/LiIggngYs0,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727743456514048
['1610727743108292610'],1405859691998191618,RT @Kriptomaniaca: Bu akşam 21:45' de uzun vade taşımak kaydıyla alacağım coinlerden birini beklentilerim ve alım yerleriyle birlikte payla…,"{'retweet_count': 58, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727743108292610
['1610727742634336258'],367045413,"@rkvchat @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov I know about MEVs, let's not share too much so it doesn't stop working anytime soon :P","{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727742634336258
['1610727742537977860'],714510608566206465,"RT @Nekomuri_Solana: https://t.co/jFAepEoNND
-first 5000 user Get 100$ K NEKO

#Solana #SolanaAirdrop #Airdrop #Crypto #Giveaway #cryptocur…","{'retweet_count': 6507, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727742537977860
['1610727740973391872'],302124502,@Bitboy_Crypto @OilCrypto @GaryGensler @SECGov This is an inspiring story and I'm sure it will encourage others to pursue their own goals and dreams. https://t.co/9biq6OFfJc,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727740973391872
['1610727739614498818'],3346838656,"RT @Huskyy_SOL: If you missed $Bonk Airdrop, dont worry $HSKY airdrop is here for yall.

To enter :
- Follow our twitter
- Retweet &amp; Tag 3…","{'retweet_count': 361, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727739614498818
['1610727739203485698'],3436082081,I just got $3000 DAI 2.0! @reminisce_ming @FerchoKirill @crypto_nut22 @IAMVoxel @E_THIOMVSHKO @ISMAILM1990 @therealcupe @_preme__ @Setuhlambert49 @Majid95622434 @ba92358 https://t.co/CdSVn2QsBm,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 31}",1610727739203485698
['1610727738146521089'],1608788655149121537,#Airdrop https://t.co/W0JRYyJxNy,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",1610727738146521089
['1610727737655980033'],1526470208013352960,"RT @Airdrop6_com: New #airdrop: MonteGroup (Bot)
Reward: 15 TRX
News: JCACompany
Distribution date: January 20th

🔗Airdrop Link: https://t.…","{'retweet_count': 4893, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727737655980033
['1610727737538531328'],1550535440549425152,@crypto_inez @mooningagency https://t.co/88mX7BhYdh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727737538531328
['1610727736904908806'],1559609623400906752,"RT @TradeStrikeBVI: #TradeX will bring yet another way for you to purchase your crypto directly!

Connect with high-quality providers from…","{'retweet_count': 86, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727736904908806
